Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,male,bachelor's,software engineer,5.0,90000.0
28.0,female,master's,data analyst,3.0,65000.0
45.0,male,phd,senior manager,15.0,150000.0
36.0,female,bachelor's,sales associate,7.0,60000.0
52.0,male,master's,director,20.0,200000.0
29.0,male,bachelor's,marketing analyst,2.0,55000.0
42.0,female,master's,product manager,12.0,120000.0
31.0,male,bachelor's,sales manager,4.0,80000.0
26.0,female,bachelor's,marketing coordinator,1.0,45000.0
38.0,male,phd,senior scientist,10.0,110000.0
29.0,male,master's,software developer,3.0,75000.0
48.0,female,bachelor's,hr manager,18.0,140000.0
35.0,male,bachelor's,financial analyst,6.0,65000.0
40.0,female,master's,project manager,14.0,130000.0
27.0,male,bachelor's,customer service rep,2.0,40000.0
44.0,male,bachelor's,operations manager,16.0,125000.0
33.0,female,master's,marketing manager,7.0,90000.0
39.0,male,phd,senior engineer,12.0,115000.0
25.0,female,bachelor's,data entry clerk,0.0,35000.0
51.0,male,bachelor's,sales director,22.0,180000.0
34.0,female,master's,business analyst,5.0,80000.0
47.0,male,master's,vp of operations,19.0,190000.0
30.0,male,bachelor's,it support,2.0,50000.0
36.0,female,bachelor's,recruiter,9.0,60000.0
41.0,male,master's,financial manager,13.0,140000.0
28.0,female,bachelor's,social media specialist,3.0,45000.0
37.0,female,master's,software manager,11.0,110000.0
24.0,male,bachelor's,junior developer,1.0,40000.0
43.0,female,phd,senior consultant,15.0,140000.0
33.0,male,master's,product designer,6.0,90000.0
50.0,male,bachelor's,ceo,25.0,250000.0
31.0,female,bachelor's,accountant,4.0,55000.0
29.0,male,master's,data scientist,3.0,75000.0
39.0,female,bachelor's,marketing specialist,10.0,65000.0
46.0,male,phd,senior manager,20.0,170000.0
27.0,male,bachelor's,technical writer,2.0,45000.0
35.0,female,bachelor's,hr generalist,7.0,60000.0
42.0,male,master's,project engineer,14.0,115000.0
26.0,female,bachelor's,customer success rep,1.0,40000.0
49.0,male,bachelor's,sales executive,21.0,160000.0
34.0,female,master's,ux designer,5.0,80000.0
48.0,male,master's,operations director,18.0,190000.0
30.0,male,bachelor's,network engineer,3.0,60000.0
36.0,female,bachelor's,administrative assistant,8.0,45000.0
41.0,male,master's,strategy consultant,13.0,130000.0
28.0,female,bachelor's,copywriter,2.0,40000.0
32.0,male,bachelor's,account manager,5.0,75000.0
45.0,female,master's,director of marketing,16.0,180000.0
38.0,male,phd,senior scientist,11.0,120000.0
25.0,male,bachelor's,help desk analyst,0.0,35000.0
51.0,female,bachelor's,customer service manager,22.0,130000.0
33.0,male,master's,business intelligence analyst,7.0,85000.0
40.0,female,bachelor's,event coordinator,12.0,60000.0
47.0,male,master's,vp of finance,19.0,200000.0
29.0,female,bachelor's,graphic designer,3.0,50000.0
36.0,male,bachelor's,sales manager,9.0,95000.0
27.0,female,master's,ux researcher,2.0,65000.0
43.0,male,phd,senior engineer,17.0,140000.0
30.0,female,bachelor's,social media manager,4.0,55000.0
35.0,male,master's,product manager,7.0,105000.0
51.0,female,master's,director of operations,23.0,170000.0
29.0,male,bachelor's,marketing analyst,3.0,50000.0
40.0,female,bachelor's,hr manager,12.0,80000.0
47.0,male,phd,senior data scientist,21.0,180000.0
26.0,male,bachelor's,junior accountant,1.0,35000.0
38.0,female,master's,digital marketing manager,10.0,90000.0
46.0,male,bachelor's,it manager,19.0,120000.0
31.0,female,bachelor's,customer service representative,5.0,45000.0
34.0,male,master's,business development manager,8.0,90000.0
49.0,female,master's,senior financial analyst,18.0,150000.0
33.0,male,bachelor's,web developer,6.0,65000.0
39.0,female,bachelor's,recruiter,11.0,70000.0
45.0,male,phd,research director,16.0,190000.0
28.0,male,bachelor's,technical support specialist,2.0,40000.0
42.0,female,master's,creative director,14.0,120000.0
37.0,male,bachelor's,project manager,10.0,95000.0
50.0,female,bachelor's,operations manager,22.0,160000.0
32.0,male,master's,senior software engineer,6.0,100000.0
48.0,female,master's,human resources director,20.0,180000.0
30.0,female,bachelor's,content marketing manager,3.0,55000.0
36.0,male,bachelor's,technical recruiter,8.0,70000.0
41.0,female,master's,data analyst,13.0,80000.0
25.0,male,bachelor's,sales representative,0.0,30000.0
52.0,male,phd,chief technology officer,24.0,250000.0
29.0,female,bachelor's,junior designer,2.0,40000.0
34.0,female,master's,financial advisor,10.0,95000.0
27.0,male,bachelor's,junior account manager,2.0,45000.0
40.0,female,bachelor's,hr generalist,15.0,80000.0
46.0,male,master's,senior project manager,21.0,135000.0
31.0,female,bachelor's,marketing coordinator,6.0,55000.0
36.0,male,phd,principal scientist,11.0,120000.0
29.0,female,bachelor's,sales associate,3.0,40000.0
43.0,male,bachelor's,supply chain manager,18.0,105000.0
52.0,female,master's,senior marketing manager,25.0,170000.0
33.0,male,bachelor's,business analyst,7.0,75000.0
39.0,female,bachelor's,training specialist,12.0,65000.0
47.0,male,phd,research scientist,22.0,160000.0
26.0,male,bachelor's,junior software developer,1.0,35000.0
38.0,female,master's,public relations manager,10.0,90000.0
45.0,male,bachelor's,operations analyst,20.0,110000.0
31.0,female,bachelor's,event coordinator,5.0,45000.0
35.0,male,master's,product marketing manager,8.0,95000.0
49.0,female,master's,senior hr manager,19.0,150000.0
33.0,male,bachelor's,junior web developer,5.0,50000.0
39.0,female,master's,senior project coordinator,13.0,80000.0
44.0,male,phd,chief data officer,16.0,220000.0
30.0,female,bachelor's,digital content producer,3.0,50000.0
36.0,male,bachelor's,it support specialist,7.0,60000.0
41.0,female,master's,senior marketing analyst,14.0,100000.0
28.0,male,bachelor's,customer success manager,2.0,40000.0
42.0,female,master's,senior graphic designer,15.0,110000.0
37.0,male,bachelor's,software project manager,9.0,95000.0
50.0,female,bachelor's,supply chain analyst,22.0,130000.0
